CompanyName,street,City,State,ZipCode,ZipPlus,ContactFirstName,ContactLastName,ContactTitle,Phone,BusinessDescription,PrimaryNAICS,NAICS2,NAICS3,NAICS4,NAICS5,BusinessType,County,Employee,AnnualSales,URL,YearEstablished
Bake Bottle & Brew,147 N Front St,Swansboro,NC,28584,9020,Jack,Harnatkiewicz,Owner,9103257550,Brewers (mfrs),312120,424490,445310,445310,453220,Private,Onslow,1,1376000,BAKEBOTTLEBREW.COM,2011
Balsam Falls Brewing Co,506 W Main St,Sylva,NC,28779,5544,,,,8286311987,Brewers (mfrs),312120,722410,,,,Private,Jackson,14,19223000,,2017
Barking Duck Brewing Co,4400 Morris Park Dr # O,Mint Hill,NC,28227,9269,Jacob,Reynolds,Owner,9804987505,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,BARKINGDUCKBREW.COM,2014
Basic Brewery LLC,131 3rd Ave W,Hendersonville,NC,28792,4313,Richard,Wenger,Owner,8285135030,Brewers (mfrs),312120,,,,,Private,Henderson,14,20693000,BASICBREWERY.COM,2015
Bearwaters Brewing Co,101 Park St,Canton,NC,28716,4319,Kevin R,Sandefur,President,8282374200,Brewers (mfrs),312120,,,,,Private,Haywood,14,19614000,BEARWATERSBREWING.COM,2017
Beer Growler,1427 South Blvd # 101,Charlotte,NC,28203,6446,Kristen,Knox,Owner,7048179374,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2015
Belt Line Station,923 Franklin St,Durham,NC,27701,4369,Loren A,Loder,Owner,9199088325,Brewers (mfrs),312120,,,,,Private,Durham,14,4442000,,2015
Bhavana Brewery,1401 S Bloodworth St,Raleigh,NC,27610,6873,,,,9193078779,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,,2016
Bhramari Brewing Co,101 S Lexington Ave,Asheville,NC,28801,3309,Allison,Sernack,Owner,8282147981,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2018
Big Boss Brewing Co,1249 Wicker Dr # A,Raleigh,NC,27604,1683,Geoff,Lamb,Owner,9198340045,Brewers (mfrs),312120,445310,,,,Private,Wake,7,3081000,BIGBOSSBREWING.COM,2003
Big Game Brewing LLC,134B Industrial Park Dr,Trenton,NC,28585,9593,,,,2520001111,Brewers (mfrs),312120,,,,,Private,Jones,14,18573000,,2018
Birdsong Brewing,1016 N Davidson St,Charlotte,NC,28206,3371,Christopher,Goulet,Partner,7043347704,Brewers (mfrs),312120,445310,445310,,,Private,Mecklenburg,20,10070000,BIRDSONGBREWING.COM,2011
Black Creek Brewery,111-113 Depot Street,Roxboro,NC,27573,,,,,9195244319,Brewers (mfrs),312120,,,,,Private,Person,14,10453000,,2018
Black Mountain Brewing,131 Broadway St,Black Mountain,NC,28711,3422,John,Richardson,Owner,8283575010,Brewers (mfrs),312120,,,,,Private,Buncombe,3,,,2019
Black Mountain Brewing-Dstllng,117 Cherry St # C,Black Mountain,NC,28711,3457,,,,8280001111,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2017
Blind Squirrel Brewery,4716 US Highway 19E S,Plumtree,NC,28664,,,,,8287652739,Brewers (mfrs),312120,722511,,,,Private,Avery,14,16467000,BLINDSQUIRRELBREWERY.COM,2014
Blue Blaze Brewing,528 S Turner Ave,Charlotte,NC,28208,4259,Craig,Nunn,President,9808592586,Brewers (mfrs),312120,445310,,,,Private,Mecklenburg,14,7049000,BLUEBLAZEBREWING.COM,2015
Blue Ghost Brewing,125 Underwood Rd,Fletcher,NC,28732,8634,,,,8283760159,Brewers (mfrs),312120,,,,,Private,Henderson,14,20693000,BLUEGHOSTBREWING.COM,2016
Bold Missy Brewery Inc,610 Anderson St,Charlotte,NC,28205,1208,Carol,Waggener,Owner,9802994184,Brewers (mfrs),312120,445310,,,,Private,Mecklenburg,14,7049000,BOLDMISSYBREWERY.COM,2017
Bold Rock Hard Cider,72 School House Rd,Mills River,NC,28759,9712,Seth,Plemmons,Manager,8285959941,Brewers (mfrs),312120,445310,,,,Private,Henderson,14,20693000,BOLDROCK.COM,2010
Bombshell Beer Co,120 Quantum St,Holly Springs,NC,27540,8861,Ellen,Joyner,Other,9198231933,Brewers (mfrs),312120,424490,445310,,,Private,Wake,1,441000,BOMBSHELLBEER.COM,2013
Boojum Brewing Co,357 Dayton Dr,Waynesville,NC,28786,6931,Kelsie,Baker,Owner,8289440888,Brewers (mfrs),312120,,,,,Private,Haywood,14,19614000,BOOJUMBREWING.COM,2014
Boojum Tap Room,50 N Main St,Waynesville,NC,28786,3889,,,,8282460350,Brewers (mfrs),312120,722511,445310,,,Private,Haywood,14,19614000,BOOJUMBREWING.COM,2015
Boondocks Brew Haus,302 S Jefferson Ave,West Jefferson,NC,28694,,,,,3368467525,Brewers (mfrs),312120,722511,,,,Private,Ashe,14,17775000,BOONDOCKSBEER.COM,2014
Booneshine Brewing Co,465 Industrial Park Dr,Boone,NC,28607,3942,,,,8287734851,Brewers (mfrs),312120,445310,,,,Private,Watauga,14,19558000,BOONESHINE.BEER,2015
Boylan Bridge Brewpub,201 S Boylan Ave,Raleigh,NC,27603,1803,Andrew,Leager,Owner,9198038927,Brewers (mfrs),312120,722511,,,,Private,Wake,4,1761000,BOYLANBRIDGE.COM,2008
Brevard Brewing Co,63 E Main St,Brevard,NC,28712,3746,Kyle,Williams,Owner,8288852101,Brewers (mfrs),312120,445310,445310,,,Private,Transylvania,14,16986000,BREVARD-BREWING.COM,1861
Brew Dolly Obx,8910 S Old Oregon Inlet Rd,Nags Head,NC,27959,,,,,2523123717,Brewers (mfrs),312120,,,,,Private,Dare,14,20672000,BREWDOLLYOBX.COM,2017
Brew N Que Apex,2045 Creekside Landing Dr,Apex,NC,27502,3982,,,,9196012430,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,BREWNQUENC.COM,2017
Brew Publik,900 Nc Music Factory Blvd # B,Charlotte,NC,28206,6003,,,,7044970715,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,BREWPUBLIK.BEER,2016
Brew Your Practice LLC,59 Charlotte St # 2,Asheville,NC,28801,2435,Jane,Carter,Manager,8280001111,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2017
Brewers At 4001 Yancey,4001 Yancey Rd # A,Charlotte,NC,28217,1772,,,,7044524001,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2018
Brewery 99 LLC,417 Broad St # F,New Bern,NC,28560,4900,Peter,Frey,Owner,2520001111,Brewers (mfrs),312120,,,,,Private,Craven,14,10453000,BREWERY99.COM,2015
Brewery Cursus,135 Thompson St,Asheville,NC,28803,1443,,,,8284125193,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2016
Brewmasters Inc,2115 Forest Hills Rd W # C,Wilson,NC,27893,3483,Robert M,Youseff,President,2520001111,Brewers (mfrs),312120,,,,,Private,Wilson,14,10453000,,2014
Brice's Brewing,1822 Garner Station Blvd,Raleigh,NC,27603,3643,,,,9842001803,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,BRICESBREWING.COM,2016
Brice's Brewing Co,101 Caroline Ct,Clayton,NC,27520,5638,Dana,Bengtson,Owner,9190001111,Brewers (mfrs),312120,,,,,Private,Johnston,14,20909000,,2015
Bright Light Brewing Co,444 W Russell St # 102,Fayetteville,NC,28301,5575,,,,9103390464,Brewers (mfrs),312120,,,,,Private,Cumberland,9,13335000,,2017
Broadslab Distillery LLC,4834 Nc Highway 50 S,Benson,NC,27504,8637,,,,9192071366,Brewers (mfrs),312120,,,,,Private,Johnston,14,20909000,BROADSLABDISTILLERY.COM,2017
Bronze Star Brewery,2690 Nc 87,Fayetteville,NC,28306,,,,,9107235997,Brewers (mfrs),312120,,,,,Private,Cumberland,14,20744000,,2016
Broomtail Craft Brewery,6404 Amsterdam Way,Wilmington,NC,28405,2568,Lisa,Owings,Owner,9102641369,Brewers (mfrs),312120,,,,,Private,New Hanover,14,4434000,BROOMTAILCRAFTBREWERY.COM,2018
Brown Mountain Bottle Works,115 E Union St,Morganton,NC,28655,3447,Kory,Suttles,Owner,8284132678,Brewers (mfrs),312120,,,,,Private,Burke,14,6775000,BROWNMOUNTAINBOTTLEWORKS.COM,2015
Brown Truck Brewery,1234 N Main St,High Point,NC,27262,3118,,,,3368861234,Brewers (mfrs),312120,,,,,Private,Guilford,50,17651000,BROWNTRUCKBREWERY.COM,2016
Brueprint Brewing Co,1229 Perry Rd # 101,Apex,NC,27502,6898,Eric,Wagner,Owner,9193878075,Brewers (mfrs),312120,445310,,,,Private,Wake,4,1761000,BRUEPRINT.COM,2014
Brutopia,1201-A US Highway 70 E,New Bern,NC,28560,6615,Bryan,Conway,Other,2526315142,Brewers (mfrs),312120,,,,,Private,Craven,14,10453000,,2016
Buffalo City Jug Shop,1900 S Croatan Hwy # B,Kill Devil Hills,NC,27948,,,,,2522552347,Brewers (mfrs),312120,722410,445310,,,Private,Dare,14,20672000,BUFFALOCITYBEER.COM,2018
Bull City Burger & Brewery,107 E Parrish St # 105,Durham,NC,27701,3385,Seth,Gross,President,9196802333,Brewers (mfrs),312120,722511,722410,,,Private,Durham,14,4442000,BULLCITYBURGERANDBREWERY.COM,2011
Bull City Ciderworks,599 S Railroad St,Lexington,NC,27292,3318,,,,3367493074,Brewers (mfrs),312120,,,,,Private,Davidson,14,10453000,,2016
Burial Beer Co,40 Collier Ave,Asheville,NC,28801,4024,Douglas S,Reiser,Owner,8284752739,Brewers (mfrs),312120,445310,,,,Private,Buncombe,23,34511000,BURIALBEER.COM,2013
C L T Brewing Co LLC,1001 Elizabeth Ave # 1D,Charlotte,NC,28204,2234,,,,7040001111,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2017
Carolina Ale House,8695 Concord Mills Blvd,Concord,NC,28027,5400,,,,9802257429,Brewers (mfrs),312120,722511,,,,Private,Cabarrus,14,21361000,CAROLINAALEHOUSE.COM,2013
Carolina Beverage Group LLC,110 Barley Park Ln,Mooresville,NC,28115,7912,J Michael,Smith,CEO,7047992337,Brewers (mfrs),312120,445310,,,,Private,Iredell,250,,CAROLINABEVERAGEGROUP.COM,1997
Carolina Brewery & Grill,120 Lowes Dr # 100,Pittsboro,NC,27312,8872,Robert,Poitres,Owner,9195452330,Brewers (mfrs),312120,722511,722410,,,Private,Chatham,14,17220000,CAROLINABREWERY.COM,1995
Carolina Brewing Co,140 Thomas Mill Rd,Holly Springs,NC,27540,9372,Mark,Heath,Owner,9195572337,Brewers (mfrs),312120,445310,,,,Private,Wake,4,1761000,CAROLINABREW.COM,2001
Carolina Western Saloon,715 Clemmonsville Cir,Winston Salem,NC,27107,4101,Mickie,Crowder,Owner,3367845534,Brewers (mfrs),312120,722410,,,,Private,Forsyth,2,839000,,1984
Carolinian,501-A Hugo St,Durham,NC,27704,,Logan,Cason,Owner,7046096192,Brewers (mfrs),312120,,,,,Private,Durham,1,318000,,2018
Catawba Brewing,32 Banks Ave,Asheville,NC,28801,4070,Shelton,Steele,Manager,8285523934,Brewers (mfrs),312120,,,,,Private,Buncombe,16,24008000,CATAWBABREWING.COM,1999
Catawba Valley Brewing Co,212 S Green St,Morganton,NC,28655,3525,Jetta M,Pyatt,President,8284306883,Brewers (mfrs),312120,445310,,,,Private,Burke,14,6775000,CATAWBABREWING.COM,1999
Catawba Valley Brewing Co,933 Louise Ave # 105,Charlotte,NC,28204,2299,,,,8285278097,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2017
Cavendish Brewing Co LLC,207 N Chester St,Gastonia,NC,28052,2234,Scott,Cavendish,Owner,7040001111,Brewers (mfrs),312120,,,,,Private,Gaston,14,20830000,,2015
Check Six Brewing Co,5130 Southport Supply Rd SE,Southport,NC,28461,9261,Noah,Goldman,CEO,9104779280,Brewers (mfrs),312120,,,,,Private,Brunswick,14,10453000,CHECKSIXBEER.COM,2015
Clouds Brewing,1233 Front St # E,Raleigh,NC,27609,7534,,,,5046694514,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,,2017
Cody's III,6485 Carolina Beach Rd,Wilmington,NC,28412,2909,,,,9103977700,Brewers (mfrs),312120,722511,,,,Private,New Hanover,14,4434000,,2012
Compass Rose Brewery,3201 Northside Dr # 101,Raleigh,NC,27615,4242,Justin,Mcconkey,General Mgr,9198755683,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,COMPASSROSEBREWERY.COM,2015
Concord Mills Ale House LLC,6510 Chapel Hill Rd # 200,Raleigh,NC,27607,5010,Amber,Moshakos,Manager,9190001111,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,,2014
Courtyard Hooligans,140 Brevard Ct,Charlotte,NC,28202,1927,,,,7043328882,Brewers (mfrs),312120,722410,,,,Private,Mecklenburg,14,7049000,360CHARLOTTE.COM,2007
Crafty Beer Shop,2003 Fairview Rd,Raleigh,NC,27608,2354,Wendy,Harris,Owner,9196153008,Brewers (mfrs),312120,445310,445310,,,Private,Wake,4,1761000,CRAFTYBEERSHOP.COM,2013
Crank Arm Brewing,319 W Davie St,Raleigh,NC,27601,1718,Adam,Eckhardt,Owner,9199770050,Brewers (mfrs),312120,445310,445310,,,Private,Wake,4,1761000,CRANKARMBREWING.COM,2013
Crystal Coast Brewing Co,702 Arendell St,Morehead City,NC,28557,4234,,,,2527730974,Brewers (mfrs),312120,,,,,Private,Carteret,14,18596000,,2017
Crystal Coast Brewing Co,219 W Fort Macon Rd,Atlantic Beach,NC,28512,5303,,,,7044513618,Brewers (mfrs),312120,,,,,Private,Carteret,14,18596000,,2018
Crystal Coast Brewing Co LLC,307 Kimberly Rd,Davidson,NC,28036,8554,Charles,Poppe,Other,7040001111,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2016
D9 Brewing Co,11138 Treynorth Dr # C,Cornelius,NC,28031,8186,Andrew,Durstewitz,CEO,7044579368,Brewers (mfrs),312120,445310,,,,Private,Mecklenburg,30,15105000,D9BREWING.COM,2014
Deep River Brewery,700 W Main St # 102,Clayton,NC,27520,1657,Paul,Auclair,Other,9195852296,Brewers (mfrs),312120,445310,,,,Private,Johnston,14,20909000,DEEPRIVERBREWING.COM,2013
Devils Krafthouse,406 Chapel Dr # 070,Durham,NC,27708,9984,,,,9196818888,Brewers (mfrs),312120,,,,,Private,Durham,14,4442000,,2017
District 9 Brewing Co LLC,11138 Treynorth Dr # C,Cornelius,NC,28031,8186,John,Ashcraft Jr,Other,9802136460,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,FANATICALALES.COM,2015
Double Barley Brewing,3174 US Highway 70 W,Smithfield,NC,27577,7613,Larry,Lane,Owner,9199345069,Brewers (mfrs),312120,722511,445310,,,Private,Johnston,14,20909000,DOUBLEBARLEYBREWING.COM,2014
Dragon Moonshine Co,516 E 15th St # 14B,Charlotte,NC,28206,3490,Teresa,Spicer,Manager,7046072453,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,DRAGONMOONSHINE.COM,2017
Dreamweaver's Brewery,115 E North Main St,Waxhaw,NC,28173,6029,,,,7048437326,Brewers (mfrs),312120,445299,,,,Private,Union,14,10453000,DREAMWEAVERSBREWERY.COM,2015
Dry Falls Brewing Co,425 Kanuga Rd,Hendersonville,NC,28739,5223,Jeff,Golliher,Partner,8286960660,Brewers (mfrs),312120,,,,,Private,Henderson,5,7391000,DRYFALLSBREWING.COM,2018
Dubbel Barrel Brewing Inc,3174 US Highway 70 W,Smithfield,NC,27577,7613,,,,9199343433,Brewers (mfrs),312120,,,,,Private,Johnston,14,20909000,DOUBLEBARLEYBREWING.COM,2014
Duck Rabbit Craft Brewery,4519 West Pine St,Farmville,NC,27828,8526,Paul,Philippon,Owner,2527537745,Brewers (mfrs),312120,,,,,Private,Pitt,2,2918000,DUCKRABBITBREWERY.COM,2001
Durty Bull Brewing Co,206 Broadway St # 104,Durham,NC,27701,2296,Matt,Pennisi,Manager,9196882337,Brewers (mfrs),312120,,,,,Private,Durham,7,2221000,DURTYBULL.COM,2016
Ecusta Brewing Co,49 Pisgah Hwy # 3,Pisgah Forest,NC,28768,8819,Josh,Chambers,Owner,8289662337,Brewers (mfrs),312120,,,,,Private,Transylvania,7,8493000,ECUSTABREWING.COM,2016
Eluvium Brewing Co,11 Florida Ave,Weaverville,NC,28787,8438,,,,8284841799,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,ELUVIUMBREWING.COM,2017
Fermented Nonsense Brewing LLC,100 Julian Shoals Dr # 40,Arden,NC,28704,970,Joshua R,Austin,Manager,8280001111,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2018
Fiddlin Fish Brewing Co,772 N Trade St,Winston Salem,NC,27101,1431,,,,3369998945,Brewers (mfrs),312120,,,,,Private,Forsyth,14,5870000,FIDDLINFISH.COM,2017
Fishtowne Brew House,133-B Turner St,Beaufort,NC,28516,,,,,2522409252,Brewers (mfrs),312120,,,,,Private,Carteret,14,,,2019
Flat Rock Cider Works,305 N Main St,Hendersonville,NC,28792,4902,,,,8286984688,Brewers (mfrs),312120,,,,,Private,Henderson,14,20693000,FLATROCKCW.WPENGINE.COM,2016
Flat Top Brewing Co,567 Main St E,Banner Elk,NC,28604,8974,Nathan,Paris,Manager,8288988677,Brewers (mfrs),312120,445310,,,,Private,Avery,14,16467000,,2013
Flytrap Brewing,319 Walnut St,Wilmington,NC,28401,4051,Michael,Barlas,Owner,9102312451,Brewers (mfrs),312120,,,,,Private,New Hanover,14,4434000,FLYTRAPBREWING.COM,2015
Foggy Mountain Brew Pub,12 Church St,Asheville,NC,28801,3362,,,,8282543008,Brewers (mfrs),312120,512131,,,,Private,Buncombe,23,34511000,FOGGYMOUNTAINAVL.COM,2013
Fonta Flora Brewery,317 N Green St,Morganton,NC,28655,3324,Mark,Bennett,Manager,8284750153,Brewers (mfrs),312120,,,,,Private,Burke,14,6775000,FONTAFLORA.COM,2013
Foothills Brewing,3800 Kimwell Dr,Winston Salem,NC,27103,6708,James,Bartholomaus,Owner,3369979484,Brewers (mfrs),312120,424820,722511,453998,,Private,Forsyth,14,5870000,FOOTHILLSBREWING.COM,2011
Fortnight Brewing Co,1006 SW Maynard Rd,Cary,NC,27511,4385,,,,9193426604,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,FORTNIGHTBREWING.COM,1982
Four Saints Brewing Co,218 S Fayetteville St,Asheboro,NC,27203,5725,Joel,Mc Closky,Owner,3366103722,Brewers (mfrs),312120,,,,,Private,Randolph,2,1494000,FOURSAINTSBREWING.COM,2015
Free Range Brewing,2320 N Davidson St # D,Charlotte,NC,28205,1832,Steven J,Alexander,Other,9802019096,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2015
Freemans Pub,173 W Main Ave,Gastonia,NC,28052,4154,Bradford,Freeman,CEO,7046714782,Brewers (mfrs),312120,722511,722410,,,Private,Gaston,14,20830000,GREYREVELL.COM,2009
French Broad Brewing,101 Fairview Rd # D,Asheville,NC,28803,4301,Andrew,Dahm,President,8282770222,Brewers (mfrs),312120,445310,,,,Private,Buncombe,6,9003000,FRENCHBROADBREWERY.COM,2001
Frog Level Brewing Co,56 Commerce St,Waynesville,NC,28786,5738,Clark,Williams,Owner,8284545664,Brewers (mfrs),312120,445310,,,,Private,Haywood,2,2802000,FROGLEVELBREWING.COM,2012
Front Street Brewery,9 N Front St,Wilmington,NC,28401,4436,Tom,Harris,Owner,9107694085,Brewers (mfrs),312120,722511,722320,722410,454110,Private,New Hanover,65,20584000,FRONTSTREETBREWERY.COM,2007
Full Moon Cafe & Brewery,208 Queen Elizabeth Ave,Manteo,NC,27954,,Sharon,Enoch,Owner,2524736666,Brewers (mfrs),312120,722511,722514,,,Private,Dare,10,14766000,LOSTCOLONYBREWERY.COM,1996
Fullsteam Brewery,726 Rigsbee Ave,Durham,NC,27701,2139,Sean,Wilson,Owner,9196822337,Brewers (mfrs),312120,722511,722410,,,Private,Durham,30,9519000,FULLSTEAM.AG,2010
Garden Girl Mead,86 Northeast Dr,Gates,NC,27937,9681,,,,7577687614,Brewers (mfrs),312120,,,,,Private,Gates,14,10453000,,2018
Gate City Growlers LLC,1724 Battleground Ave # 103,Greensboro,NC,27408,7915,Daniel,Leonard,Other,3367639746,Brewers (mfrs),312120,,,,,Private,Guilford,50,17651000,GATECITYGROWLERS.COM,2015
Gateway Brew,211 S Battleground Ave,Kings Mountain,NC,28086,3403,,,,7047506252,Brewers (mfrs),312120,722515,,,,Private,Cleveland,14,10453000,,2016
Ghostface Brewing,427 E Statesville Ave,Mooresville,NC,28115,2593,Michael,Cuddy,Owner,7047997433,Brewers (mfrs),312120,,,,,Private,Iredell,14,19697000,GHOSTFACEBREWING.COM,2016
Gibb's Hundred Brewery Co,117 W Lewis St,Greensboro,NC,27406,1343,Mark,Gibb,President,3367637087,Brewers (mfrs),312120,722410,,,,Private,Guilford,50,17651000,GIBBSHUNDRED.COM,2014
Gibbs Hundred Brewing Co,504 State St,Greensboro,NC,27405,5659,,,,3367637087,Brewers (mfrs),312120,,,,,Private,Guilford,7,2472000,GIBBSHUNDRED.COM,2018
Gizmo Brew Works,5907 Triangle Dr,Raleigh,NC,27617,4742,Ryan,Roth,Owner,9197822099,Brewers (mfrs),312120,445310,,,,Private,Wake,4,1761000,GIZMOBREWWORKS.COM,2013
Granite Falls Brewing Co,47 Duke St,Granite Falls,NC,28630,1807,Mario S,Mastro,President,8282121222,Brewers (mfrs),312120,722511,,,,Private,Caldwell,14,18950000,GRANITEFALLSBREWING.COM,2013
Green Man Brewery,27 Buxton Ave,Asheville,NC,28801,4019,John,Stuart,Manager,8282525502,Brewers (mfrs),312120,424810,445310,,,Private,Buncombe,5,7503000,GREENMANBREWERY.COM,1997
Greenshields Brewing Co,1255 Crescent Green # 105,Cary,NC,27518,8124,,,,9190001111,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,,2015
Habitat Brewing,174 Broadway St,Asheville,NC,28801,2305,Jennifer,Addis,Other,8284125470,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2016
Habitat Brewing Co LLC,21 Fulton St,Asheville,NC,28801,1806,Donald M,Addis,Owner,8280001111,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2015
Hayesville Brewing Co,1568 Highway 64 W,Hayesville,NC,28904,4651,,,,8288356010,Brewers (mfrs),312120,,,,,Private,Clay,14,10453000,,2018
Hayesville Brewing Co,516 Tusquittee St,Hayesville,NC,28904,,,,,8288356010,Brewers (mfrs),312120,,,,,Private,Clay,14,,,2019
Hero's Pub,7440 Six Forks Rd,Raleigh,NC,27615,5100,,,,9197065150,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,HEROSPUBRALEIGH.COM,2015
Hi-Wire Brewing,197 Hilliard Ave,Asheville,NC,28801,3616,Chris,Lutkowski,Director,8285759675,Brewers (mfrs),312120,445310,,,,Private,Buncombe,23,34511000,HIWIREBREWING.COM,2013
Hi-Wire Brewing,2 Huntsman Pl,Asheville,NC,28803,2600,,,,8285523349,Brewers (mfrs),312120,541614,,,,Private,Buncombe,23,34511000,,2015
Hickory Nut Gorge Craft Brwry,461 Main Street,Asheville,NC,28803,,,,,8287718330,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2017
High Point Brewing Inc,615 Greensboro Rd,High Point,NC,27260,2649,,,,3360001111,Brewers (mfrs),312120,,,,,Private,Guilford,50,17651000,,2015
Highland Brewing Co,12 Old Charlotte Hwy # H,Asheville,NC,28803,9419,Oscar,Wong,Owner,8282993370,Brewers (mfrs),312120,445310,,,,Private,Buncombe,40,60019000,HIGHLANDBREWING.COM,2006
Homecrafted,101 Tradition Trl,Holly Springs,NC,27540,7045,Daniel Adam,Reinhard,Other,9197627600,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,,2016
Homeplace Beer Co,6 S Main St,Burnsville,NC,28714,2929,,,,8285365147,Brewers (mfrs),312120,722410,722410,,,Private,Yancey,14,10453000,HOMEPLACEBEER.COM,2017
Hope Valley Brewing Co,4810 Hope Valley Rd,Durham,NC,27707,6631,Kyle,Crane,Manager,9192944955,Brewers (mfrs),312120,,,,,Private,Durham,14,4442000,HOPEVALLEYBREWINGCOMPANY.COM,2016
Hopfly Brewing Co,1147 Falls Rd # 121,Rocky Mount,NC,27804,4407,,,,9199494992,Brewers (mfrs),312120,,,,,Private,Nash,14,10453000,,2018
Hoppy Trout Brewing Co LLC,911 Main St,Andrews,NC,28901,7087,Thomas,Rodeck,Owner,8280001111,Brewers (mfrs),312120,,,,,Private,Cherokee,14,17916000,,2015
Howard Brewing,1001 West Ave NW,Lenoir,NC,28645,5126,Jason,Howard,Owner,8285724449,Brewers (mfrs),312120,445310,,,,Private,Caldwell,7,9475000,HOWARDBREWING.COM,2012
Howard Brewing Co,1049 19th Avenue Pl NW,Hickory,NC,28601,1721,,,,8280001111,Brewers (mfrs),312120,,,,,Private,Catawba,14,21563000,,2014
Huske Hardware House Rstrnt,405 Hay St,Fayetteville,NC,28301,5537,Donna,Stevenson,Manager,9104379905,Brewers (mfrs),312120,722511,,,,Private,Cumberland,14,20744000,HUSKEHARDWARE.COM,2008
Hyde Brewing LLC,106 Foster Ave,Charlotte,NC,28203,5420,Glen D,Cherry,Manager,7040001111,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2016
